date,pm2.5,pm10,o3,no2,so2,co
2014-02-24,60,17,50,9,93,6
2014-02-25,59,18,45,9,94,5
2014-02-26,61,22,37,14,93,8
2014-02-27,71,,,,,
2014-02-28,,13,34,5,94,3
2014-03-01,50,19,41,10,94,4
2014-03-02,64,24,49,11,94,9
2014-03-03,75,20,38,10,94,8
2014-03-04,68,15,37,10,94,10
2014-03-05,57,14,35,12,94,13
2014-03-06,55,20,43,9,94,8
2014-03-07,68,22,47,9,94,6
2014-03-08,74,24,51,9,94,7
2014-03-09,78,20,44,11,94,14
2014-03-10,68,12,40,11,94,10
2014-03-11,46,17,53,12,94,13
2014-03-12,60,23,55,10,94,10
2014-03-13,74,28,53,12,94,13
2014-03-14,85,21,58,11,94,13
2014-03-15,69,11,44,13,93,10
2014-03-16,43,22,55,14,94,12
2014-03-17,73,29,55,15,94,18
2014-03-18,78,34,37,14,94,11
2014-03-19,87,28,46,6,95,10
2014-03-20,77,30,45,11,94,12
2014-03-21,80,26,52,13,95,12
2014-03-22,72,12,43,11,93,8
2014-03-23,39,19,51,8,93,8
2014-03-24,57,25,67,13,96,9
2014-03-25,70,35,49,13,119,15
2014-03-26,81,24,43,9,117,10
2014-03-27,66,23,49,9,123,8
2014-03-28,66,24,48,11,130,9
2014-03-29,69,31,58,11,134,10
2014-03-30,81,28,58,11,136,9
2014-03-31,75,25,61,10,135,11
2014-04-01,70,30,66,11,138,12
2014-04-02,79,24,62,10,134,10
2014-04-03,74,28,60,10,136,11
2014-04-04,82,21,25,16,143,19
2014-04-05,61,23,29,12,143,14
2014-04-06,67,21,23,12,147,13
2014-04-07,62,25,30,14,146,18
2014-04-08,69,27,27,15,154,16
2014-04-09,72,24,31,10,153,11
2014-04-10,68,20,32,12,151,11
2014-04-11,59,16,58,10,147,8
2014-04-12,52,19,49,10,150,10
2014-04-13,59,20,68,9,146,8
2014-04-14,62,20,73,10,148,14
2014-04-15,61,22,69,9,156,10
2014-04-16,67,22,78,10,155,10
2014-04-17,64,17,157,10,,10
2014-04-18,57,22,165,10,,11
2014-04-19,65,21,147,8,,7
2014-04-20,65,19,163,8,,6
